0.21	0.21
0.31	0.31
-0.92	-0.92
0.28	0.28
0.23	0.23
0.45	0.45
0.34	0.34
0.49	0.49
0.96	0.96
0.32	0.32
-0.45	-0.45
-0.04	-0.04
0.63	0.63
1.11	1.11
-0.19	-0.19
-0.54	-0.54
-2.91	-2.91
-4.16	-4.16
-0.13	-0.13
1.65	1.65
0.54	0.54
-0.26	-0.26
-0.06	-0.06
-1.31	-1.31
0.06	0.06
-0.49	-0.49
0.13	0.13
0.54	0.54
0.44	0.44
0.33	0.33
0.16	0.16
0.12	0.12
-0.42	-0.42
-0.35	-0.35
-0.34	-0.34
0.82	0.82
0.81	0.81
-0.68	-0.68
0.75	0.75
-0.95	-0.95
-0.27	-0.27
1.27	1.27
-0.05	-0.05
0.37	0.37
0.01	0.01
-0.71	-0.71
-1.28	-1.28
0.25	0.25
1.59	1.59
0.69	0.69
0.96	0.96
0.37	0.37
2.58	2.58
-0.8	-0.8
0.17	0.17
0.25	0.25
-1.04	-1.04
0.68	0.68
0.18	0.18
0.25	0.25
0.01	0.01
-1.06	-1.06
-0.29	-0.29
-0.17	-0.17
1.24	1.24
1.62	1.62
0.31	0.31
-0.97	-0.97
0.23	0.23
-0.32	-0.32
0.03	0.03
0.55	0.55
-0.48	-0.48
-0.59	-0.59
0.97	0.97
1.13	1.13
-0.35	-0.35
-0.34	-0.34
0.12	0.12
1.23	1.23
-2.37	-2.37
-0.83	-0.83
-1.74	-1.74
-0.57	-0.57
1.4	1.4
0.09	0.09
0.5	0.5
-1.01	-1.01
0.18	0.18
-0.05	-0.05
-1.46	-1.46
-0.29	-0.29
-1.02	-1.02
0.17	0.17
1.07	1.07
1.11	1.11
0.4	0.4
0.72	0.72
1	1
-0.27	-0.27
-1.09	-1.09
1.27	1.27
-0.73	-0.73
0.15	0.15
0.11	0.11
3.01	3.01
0.75	0.75
0.72	0.72
-1.4	-1.4
-0.84	-0.84
0.59	0.59
0.11	0.11
1.27	1.27
-1.51	-1.51
-0.96	-0.96
0.22	0.22
2.5	2.5
0.21	0.21
0.01	0.01
-1.18	-1.18
-1.27	-1.27
1.2	1.2
-1.12	-1.12
0.97	0.97
0.87	0.87
-0.69	-0.69
-1.18	-1.18
-0.7	-0.7
-1.17	-1.17
3.04	3.04
1.29	1.29
-0.75	-0.75
0.81	0.81
-1.2	-1.2
-0.05	-0.05
-0.3	-0.3
-1.13	-1.13
-0.61	-0.61
0.82	0.82
-0.77	-0.77
1.03	1.03
-0.86	-0.86
-0.28	-0.28
-1	-1
0.53	0.53
0.88	0.88
0.25	0.25
-0.71	-0.71
-0.14	-0.14
-0.59	-0.59
1.55	1.55
-0.06	-0.06
0.33	0.33
0.18	0.18
1.28	1.28
0.88	0.88
1.62	1.62
0.08	0.08
0.09	0.09
0.62	0.62
-0.71	-0.71
-2.18	-2.18
0.04	0.04
-0.63	-0.63
0.8	0.8
-0.1	-0.1
0.73	0.73
-0.02	-0.02
-1.16	-1.16
-0.42	-0.42
0.66	0.66
1.01	1.01
0.14	0.14
-1.19	-1.19
0.84	0.84
0.5	0.5
-0.2	-0.2
-1.34	-1.34
0.37	0.37
0.8	0.8
-0.42	-0.42
-0.87	-0.87
-1.27	-1.27
0.65	0.65
-0.81	-0.81
-0.71	-0.71
-1	-1
-1.22	-1.22
-0.7	-0.7
0.69	0.69
-1.39	-1.39
0.65	0.65
-1.51	-1.51
0.49	0.49
0.27	0.27
0.42	0.42
0.35	0.35
-1.74	-1.74
1.34	1.34
1.92	1.92
-0.64	-0.64
-1.1	-1.1
0.97	0.97
-0.3	-0.3
0.32	0.32
-0.64	-0.64
-1.68	-1.68
0.25	0.25
-0.49	-0.49
0.08	0.08
-0.58	-0.58
1.66	1.66
-0.44	-0.44
0.36	0.36
0.08	0.08
1.24	1.24
0.33	0.33
0.77	0.77
-0.44	-0.44
1.8	1.8
1.51	1.51
1.09	1.09
0.79	0.79
-0.44	-0.44
0.47	0.47
0.75	0.75
1.68	1.68
-0.65	-0.65
-0.89	-0.89
-1.02	-1.02
0.86	0.86
1.01	1.01
0.49	0.49
-0.91	-0.91
0.17	0.17
-0.11	-0.11
0.61	0.61
2.77	2.77
-0.78	-0.78
0.26	0.26
-0.36	-0.36
1.29	1.29
-0.74	-0.74
-1.38	-1.38
-1.73	-1.73
0.08	0.08
-0.21	-0.21
-1.19	-1.19
-0.03	-0.03
0.04	0.04
1.14	1.14
1.76	1.76
0.71	0.71
-1.51	-1.51
1.58	1.58
0	0
0.6	0.6
1.25	1.25
-0.24	-0.24
-1.85	-1.85
-0.01	-0.01
0.36	0.36
0.78	0.78
-0.91	-0.91
-0.4	-0.4
0.02	0.02
-0.74	-0.74
-0.77	-0.77
0.83	0.83
-0.42	-0.42
0.9	0.9
-0.76	-0.76
-0.57	-0.57
2.63	2.63
-0.97	-0.97
0.88	0.88
-0.94	-0.94
1.37	1.37
0.36	0.36
-0.08	-0.08
0.49	0.49
-0.06	-0.06
-1.46	-1.46
-0.93	-0.93
-0.72	-0.72
-0.77	-0.77
-2.24	-2.24
-0.22	-0.22
-0.76	-0.76
-0.01	-0.01
-0.66	-0.66
-0.75	-0.75
-0.04	-0.04
-0.3	-0.3
-0.69	-0.69
-1.48	-1.48
-0.01	-0.01
1.41	1.41
-1.52	-1.52
1.44	1.44
2.17	2.17
0.59	0.59
0.01	0.01
-0.92	-0.92
1.26	1.26
-1.78	-1.78
-0.62	-0.62
1.17	1.17
1.44	1.44
-0.36	-0.36
-0.51	-0.51
-1.14	-1.14
0.54	0.54
-0.85	-0.85
0.29	0.29
0.07	0.07
0.9	0.9
0.81	0.81
0	0
-0.18	-0.18
-1.18	-1.18
1.12	1.12
1.68	1.68
1.57	1.57
-0.23	-0.23
0.9	0.9
-0.21	-0.21
0.59	0.59
0.16	0.16
1.4	1.4
1.68	1.68
0.57	0.57
-1.67	-1.67
-1.11	-1.11
-0.17	-0.17
0.48	0.48
0.02	0.02
0.64	0.64
-1.1	-1.1
2.04	2.04
-1.43	-1.43
-1.18	-1.18
-0.11	-0.11
0.28	0.28
0.18	0.18
1.45	1.45
1.74	1.74
-1.08	-1.08
-0.49	-0.49
-0.21	-0.21
-0.03	-0.03
-1.11	-1.11
-0.48	-0.48
0.15	0.15
-0.36	-0.36
0.71	0.71
-0.66	-0.66
1.84	1.84
0.13	0.13
1.3	1.3
-1.64	-1.64
-1.17	-1.17
2.16	2.16
-1.38	-1.38
-0.23	-0.23
-0.49	-0.49
-0.16	-0.16
1.21	1.21
-0.94	-0.94
-0.03	-0.03
0.22	0.22
-0.95	-0.95
-0.74	-0.74
-1.02	-1.02
-1.62	-1.62
1.01	1.01
1.47	1.47
0.32	0.32
0.29	0.29
-0.3	-0.3
0.05	0.05
-2.51	-2.51
-0.4	-0.4
-1.08	-1.08
-0.7	-0.7
-0.68	-0.68
0.26	0.26
1.58	1.58
1.26	1.26
-1.84	-1.84
0.17	0.17
-0.49	-0.49
0.97	0.97
0.71	0.71
0.22	0.22
1.62	1.62
0.64	0.64
1.27	1.27
0.22	0.22
1.44	1.44
-0.43	-0.43
-0.07	-0.07
0.34	0.34
-0.17	-0.17
-0.49	-0.49
1.33	1.33
0.4	0.4
-0.15	-0.15
0.64	0.64
-1.79	-1.79
0.18	0.18
-1.43	-1.43
-0.14	-0.14
